"partnerid","TotalClicks","NoOfUniqueReferer","RefererClickRatio","NonRefererClickRatio","status"
"8j0a9","58","3","0.05","0.95","OK"
"8j0ao","15","6","0.40","0.60","OK"
"8j0b4","1607","963","0.60","0.40","OK"
"8j0b5","1483","731","0.49","0.51","OK"
"8j0bs","486","13","0.03","0.97","OK"
"8j0bz","2","2","1.00","0.00","OK"
"8j0da","12","7","0.58","0.42","OK"
"8j0dl","3","3","1.00","0.00","OK"
"8j0eq","51","28","0.55","0.45","OK"
"8j0fj","960","288","0.30","0.70","OK"
"8j0g9","47","27","0.57","0.43","OK"
"8j0h6","2","1","0.50","0.50","OK"
"8j0hb","342","146","0.43","0.57","OK"
"8j0j9","53","11","0.21","0.79","OK"
"8j0m9","3","2","0.67","0.33","OK"
"8j0mk","26","5","0.19","0.81","OK"
"8j0mw","28","11","0.39","0.61","OK"
"8j0n4","224","78","0.35","0.65","OK"
"8j0ov","378","136","0.36","0.64","OK"
"8j0oz","3","1","0.33","0.67","OK"
"8j0pl","2297","8","0.00","1.00","Fraud"
"8j0py","1","1","1.00","0.00","OK"
"8j0qc","273","13","0.05","0.95","OK"
"8j0qr","2","1","0.50","0.50","OK"
"8j0su","7","5","0.71","0.29","OK"
"8j0tb","7","6","0.86","0.14","OK"
"8j0tg","9","1","0.11","0.89","OK"
"8j0w1","3571","34","0.01","0.99","Observation"
"8j0wb","19","9","0.47","0.53","OK"
"8j0ww","327","2","0.01","0.99","OK"
"8j0x3","684","3","0.00","1.00","OK"
"8j0x9","4241","465","0.11","0.89","Observation"
"8j0z9","3","3","1.00","0.00","OK"
"8j10c","45392","8887","0.20","0.80","OK"
"8j11k","9","8","0.89","0.11","OK"
"8j121","41","30","0.73","0.27","OK"
"8j12n","29","5","0.17","0.83","OK"
"8j15b","31","13","0.42","0.58","OK"
"8j16r","6","3","0.50","0.50","OK"
"8j18g","7","5","0.71","0.29","OK"
"8j197","47","26","0.55","0.45","OK"
"8j19d","95","36","0.38","0.62","OK"
"8j19f","3169","2282","0.72","0.28","OK"
"8j19x","9563","6781","0.71","0.29","OK"
"8j1a0","49","39","0.80","0.20","OK"
"8j1a1","1407","953","0.68","0.32","OK"
"8j1a2","749","505","0.67","0.33","OK"
"8j1a3","12","10","0.83","0.17","OK"
"8j1a6","27","21","0.78","0.22","OK"
"8j1a7","22","20","0.91","0.09","OK"
"8j1aj","1436","164","0.11","0.89","OK"
"8j1di","33","17","0.52","0.48","OK"
"8j1fp","4","4","1.00","0.00","OK"
"8j1h7","3","3","1.00","0.00","OK"
"8j1j6","7","2","0.29","0.71","OK"
"8j1lc","122","28","0.23","0.77","OK"
"8j1od","1766","433","0.25","0.75","OK"
"8j1pb","155","19","0.12","0.88","OK"
"8j1pd","8460","720","0.09","0.91","OK"
"8j1q5","1","1","1.00","0.00","OK"
"8j1qi","1","1","1.00","0.00","OK"
"8j1rc","5","1","0.20","0.80","OK"
"8j1s7","1","1","1.00","0.00","OK"
"8j1se","130","31","0.24","0.76","OK"
"8j1so","40","21","0.53","0.48","OK"
"8j1sp","36","25","0.69","0.31","OK"
"8j1sw","98","20","0.20","0.80","OK"
"8j1t4","780","9","0.01","0.99","OK"
"8j1ti","9620","1510","0.16","0.84","OK"
"8j1u4","16","8","0.50","0.50","OK"
"8j1u5","56","33","0.59","0.41","OK"
"8j1uw","5","2","0.40","0.60","OK"
"8j1x0","7","5","0.71","0.29","OK"
"8j1xv","18","2","0.11","0.89","OK"
"8j1y0","1","1","1.00","0.00","OK"
"8j1y6","5","3","0.60","0.40","OK"
"8j20z","1444","672","0.47","0.53","OK"
"8j22j","9","2","0.22","0.78","OK"
"8j22t","9","6","0.67","0.33","OK"
"8j23z","8","1","0.13","0.88","OK"
"8j240","2","2","1.00","0.00","OK"
"8j24h","1","1","1.00","0.00","OK"
"8j26k","85","47","0.55","0.45","OK"
"8j279","63","30","0.48","0.52","OK"
"8j27p","7","2","0.29","0.71","OK"
"8j295","3","3","1.00","0.00","OK"
"8j29y","12","4","0.33","0.67","OK"
"8j2b6","66","41","0.62","0.38","OK"
"8j2b9","68","27","0.40","0.60","OK"
"8j2dz","1","1","1.00","0.00","OK"
"8j2e0","14118","4210","0.30","0.70","OK"
"8j2e9","2","2","1.00","0.00","OK"
"8j2er","5","3","0.60","0.40","OK"
"8j2f8","23","2","0.09","0.91","OK"
"8j2hf","717","12","0.02","0.98","Observation"
"8j2i2","60","9","0.15","0.85","OK"
"8j2ix","419","34","0.08","0.92","Observation"
"8j2kd","5","4","0.80","0.20","OK"
"8j2ki","5","4","0.80","0.20","OK"
"8j2li","2","1","0.50","0.50","OK"
"8j2m4","10028","2452","0.24","0.76","Observation"
"8j2nt","187","34","0.18","0.82","OK"
"8j2pr","89","47","0.53","0.47","OK"
"8j2r9","56","31","0.55","0.45","OK"
"8j2s6","3517","1929","0.55","0.45","OK"
"8j2s7","10568","1973","0.19","0.81","OK"
"8j2td","221","126","0.57","0.43","OK"
"8j2to","2","1","0.50","0.50","OK"
"8j2tr","1","1","1.00","0.00","OK"
"8j2uy","1007","452","0.45","0.55","Fraud"
"8j2z5","32","15","0.47","0.53","OK"
"8j2zn","1","1","1.00","0.00","OK"
"8j307","38","13","0.34","0.66","OK"
"8j30b","17","11","0.65","0.35","OK"
"8j30i","1","1","1.00","0.00","OK"
"8j30r","185","57","0.31","0.69","Fraud"
"8j311","73","5","0.07","0.93","OK"
"8j319","2","1","0.50","0.50","OK"
"8j31t","2046","22","0.01","0.99","Observation"
"8j31u","94","9","0.10","0.90","OK"
"8j326","2","2","1.00","0.00","OK"
"8j329","1","1","1.00","0.00","OK"
"8j32k","53","5","0.09","0.91","OK"
"8j32l","106","8","0.08","0.92","OK"
"8j32m","348","19","0.05","0.95","OK"
"8j34p","7","4","0.57","0.43","OK"
"8j368","6186","1605","0.26","0.74","Observation"
"8j369","7073","1785","0.25","0.75","Observation"
"8j36c","2","1","0.50","0.50","OK"
"8j36d","8610","1975","0.23","0.77","Observation"
"8j36e","11001","3579","0.33","0.67","OK"
"8j36f","175","7","0.04","0.96","OK"
"8j36t","4980","21","0.00","1.00","OK"
"8j38c","2","2","1.00","0.00","OK"
"8j398","1","1","1.00","0.00","OK"
"8j39n","225","90","0.40","0.60","OK"
"8j39x","1217","718","0.59","0.41","OK"
"8j3e7","1","1","1.00","0.00","OK"
"8j3ej","31","12","0.39","0.61","OK"
"8j3fg","63","12","0.19","0.81","OK"
"8j3fs","13","11","0.85","0.15","OK"
"8j3gw","74810","20818","0.28","0.72","OK"
"8j3j2","2","1","0.50","0.50","OK"
"8j3kg","43","21","0.49","0.51","OK"
"8j3l0","1","1","1.00","0.00","OK"
"8j3ln","1","1","1.00","0.00","OK"
"8j3nw","120","29","0.24","0.76","OK"
"8j3oy","2","2","1.00","0.00","OK"
"8j3th","3","2","0.67","0.33","OK"
"8j3u4","226","120","0.53","0.47","OK"
"8j3xi","466","347","0.74","0.26","OK"
"8j3xm","4","2","0.50","0.50","OK"
"8j3z1","7","1","0.14","0.86","OK"
"8j3zu","27","8","0.30","0.70","OK"
"8j416","1787","141","0.08","0.92","OK"
"8j41t","3","3","1.00","0.00","OK"
"8j42p","1","1","1.00","0.00","OK"
"8j437","8","1","0.13","0.88","OK"
"8j43i","3","2","0.67","0.33","OK"
"8j46c","15739","1996","0.13","0.87","OK"
"8j470","1","1","1.00","0.00","OK"
"8j49w","84","41","0.49","0.51","OK"
"8j4ap","1","1","1.00","0.00","OK"
"8j4ch","44","30","0.68","0.32","OK"
"8j4dw","1","1","1.00","0.00","OK"
"8j4fc","213","76","0.36","0.64","OK"
"8j4fe","8","5","0.63","0.38","OK"
"8j4gq","3201","1110","0.35","0.65","OK"
"8j4gr","17467","5651","0.32","0.68","OK"
"8j4hv","2","1","0.50","0.50","OK"
"8j4li","13","9","0.69","0.31","OK"
"8j4mp","608","145","0.24","0.76","OK"
"8j4nq","5","4","0.80","0.20","OK"
"8j4o3","1","1","1.00","0.00","OK"
"8j4og","4","3","0.75","0.25","OK"
"8j4pk","14","6","0.43","0.57","OK"
"8j4pp","4923","1300","0.26","0.74","OK"
"8j4qz","5276","1667","0.32","0.68","OK"
"8j4sj","1","1","1.00","0.00","OK"
"8j4tc","53","22","0.42","0.58","OK"
"8j4tl","5","4","0.80","0.20","OK"
"8j4tm","4","3","0.75","0.25","OK"
"8j4uo","1525","478","0.31","0.69","OK"
"8j4uq","22","9","0.41","0.59","OK"
"8j4v5","154","117","0.76","0.24","OK"
"8j4vg","35","30","0.86","0.14","OK"
"8j4vj","2","2","1.00","0.00","OK"
"8j4ye","300","15","0.05","0.95","OK"
"8j507","1625","662","0.41","0.59","OK"
"8j510","4","1","0.25","0.75","OK"
"8j51f","1197","200","0.17","0.83","Observation"
"8j522","42","22","0.52","0.48","OK"
"8j523","66","12","0.18","0.82","OK"
"8j52r","107","79","0.74","0.26","OK"
"8j53q","9","2","0.22","0.78","OK"
"8j53t","1032","227","0.22","0.78","OK"
"8j54k","6","1","0.17","0.83","OK"
"8j54x","1","1","1.00","0.00","OK"
"8j55y","104744","23876","0.23","0.77","OK"
"8j55z","46060","8395","0.18","0.82","OK"
"8j57g","4","1","0.25","0.75","OK"
"8j59e","11","2","0.18","0.82","OK"
"8j5a2","33","6","0.18","0.82","OK"
"8j5an","2896","852","0.29","0.71","OK"
"8j5bx","519","62","0.12","0.88","OK"
"8j5cg","220","45","0.20","0.80","OK"
"8j5d0","470","44","0.09","0.91","OK"
"8j5dj","430","91","0.21","0.79","OK"
"8j5dk","3","1","0.33","0.67","OK"
"8j5dn","1","1","1.00","0.00","OK"
"8j5ey","5","5","1.00","0.00","OK"
"8j5f7","21","7","0.33","0.67","OK"
"8j5fu","394","183","0.46","0.54","OK"
"8j5gg","1167","82","0.07","0.93","OK"
"8j5gh","5974","1277","0.21","0.79","OK"
"8j5gi","556","50","0.09","0.91","OK"
"8j5gj","2941","324","0.11","0.89","OK"
"8j5h0","15","6","0.40","0.60","OK"
"8j5hb","1","1","1.00","0.00","OK"
"8j5hx","3","3","1.00","0.00","OK"
"8j5ig","5","2","0.40","0.60","OK"
"8j5ix","15","9","0.60","0.40","OK"
"8j5lq","7","7","1.00","0.00","OK"
"8j5lt","49977","14069","0.28","0.72","OK"
"8j5n1","2","1","0.50","0.50","OK"
"8j5n8","6","5","0.83","0.17","OK"
"8j5ne","4","4","1.00","0.00","OK"
"8j5oc","10","4","0.40","0.60","OK"
"8j5od","15","6","0.40","0.60","OK"
"8j5ol","6","2","0.33","0.67","OK"
"8j5qz","1","1","1.00","0.00","OK"
"8j5r6","433","183","0.42","0.58","OK"
"8j5rx","2","2","1.00","0.00","OK"
"8j5t5","28","2","0.07","0.93","OK"
"8j5wq","1","1","1.00","0.00","OK"
"8j5xt","2","2","1.00","0.00","OK"
"8j5zr","7","1","0.14","0.86","OK"
"8j5zs","12","3","0.25","0.75","OK"
"8j5zz","9118","2083","0.23","0.77","OK"
"8j603","14","9","0.64","0.36","OK"
"8j60b","163","87","0.53","0.47","OK"
"8j60m","105","49","0.47","0.53","OK"
"8j60q","9","8","0.89","0.11","OK"
"8j62o","9","3","0.33","0.67","OK"
"8j62v","16","8","0.50","0.50","OK"
"8j638","150","104","0.69","0.31","OK"
"8j64i","7","6","0.86","0.14","OK"
"8j65y","1513","561","0.37","0.63","OK"
"8j67b","49","17","0.35","0.65","OK"
"8j67c","87","19","0.22","0.78","OK"
"8j696","1652","397","0.24","0.76","OK"
"8j69h","1","1","1.00","0.00","OK"
"8j69s","2","2","1.00","0.00","OK"
"8j6ac","15","2","0.13","0.87","OK"
"8j6ae","15","2","0.13","0.87","OK"
"8j6b8","1","1","1.00","0.00","OK"
"8j6em","1036","9","0.01","0.99","OK"
"8j6en","172","4","0.02","0.98","OK"
"8j6eq","1","1","1.00","0.00","OK"
"8j6es","13381","4270","0.32","0.68","OK"
"8j6f7","174","27","0.16","0.84","OK"
"8j6fg","132","26","0.20","0.80","OK"
"8j6go","16","4","0.25","0.75","OK"
"8j6he","49","6","0.12","0.88","OK"
"8j6jw","64","20","0.31","0.69","OK"
"8j6mc","2","2","1.00","0.00","OK"
"8j6nz","8","2","0.25","0.75","OK"
"8j6oi","2450","983","0.40","0.60","OK"
"8j6p7","3","3","1.00","0.00","OK"
"8j6pj","3","1","0.33","0.67","OK"
"8j6pm","2063","706","0.34","0.66","OK"
"8j6ze","2","1","0.50","0.50","OK"
"8j6zf","1310","823","0.63","0.37","OK"
"8j70l","208","112","0.54","0.46","OK"
"8j72c","6","5","0.83","0.17","OK"
"8j732","3","2","0.67","0.33","OK"
"8j73t","7088","2037","0.29","0.71","OK"
"8j76o","4112","812","0.20","0.80","OK"
"8j77b","701","366","0.52","0.48","OK"
"8j78u","805","256","0.32","0.68","OK"
"8j79o","222","23","0.10","0.90","OK"
"8j7ao","1","1","1.00","0.00","OK"
"8j7ba","1","1","1.00","0.00","OK"
"8j7ct","41","7","0.17","0.83","OK"
"8j7dc","1","1","1.00","0.00","OK"
"8j7ia","1","1","1.00","0.00","OK"
"8j7ic","3","3","1.00","0.00","OK"
"8j7iy","9","3","0.33","0.67","OK"
"8j7jh","12","12","1.00","0.00","OK"
"8j7mj","4","1","0.25","0.75","OK"
"8j7si","4","2","0.50","0.50","OK"
"8j7t8","61","24","0.39","0.61","OK"
"8j7tm","2279","1392","0.61","0.39","Fraud"
"8j7tt","5","3","0.60","0.40","OK"
"8j7xq","31","21","0.68","0.32","OK"
"8j7yi","1","1","1.00","0.00","OK"
"8j7yr","790","366","0.46","0.54","OK"
"8j80q","11","1","0.09","0.91","OK"
"8j82j","39","8","0.21","0.79","OK"
"8j839","1","1","1.00","0.00","OK"
"8j83j","42","17","0.40","0.60","OK"
"8j83r","2","1","0.50","0.50","OK"
"8j83y","5","2","0.40","0.60","OK"
"8j87g","526","61","0.12","0.88","OK"
"8j87i","7","3","0.43","0.57","OK"
"8j8b5","3","1","0.33","0.67","OK"
"8j8bn","5","1","0.20","0.80","OK"
"8j8bu","6","1","0.17","0.83","OK"
"8j8eb","1","1","1.00","0.00","OK"
"8j8eo","2","2","1.00","0.00","OK"
"8j8et","11","6","0.55","0.45","OK"
"8j8gw","1","1","1.00","0.00","OK"
"8j8h8","1","1","1.00","0.00","OK"
"8j8ho","104","48","0.46","0.54","OK"
"8j8hq","1","1","1.00","0.00","OK"
"8j8hr","9","5","0.56","0.44","OK"
"8j8i3","320","42","0.13","0.87","OK"
"8j8j4","27","7","0.26","0.74","OK"
"8j8jd","7994","1243","0.16","0.84","OK"
"8j8jg","4","2","0.50","0.50","OK"
"8j8k3","2","1","0.50","0.50","OK"
"8j8mt","22","4","0.18","0.82","OK"
"8j8mz","804","259","0.32","0.68","OK"
"8j8o4","2235","314","0.14","0.86","OK"
"8j8op","30","23","0.77","0.23","OK"
"8j8or","4","1","0.25","0.75","OK"
"8j8ou","2","1","0.50","0.50","OK"
"8j8q3","6","4","0.67","0.33","OK"
"8j8rh","1","1","1.00","0.00","OK"
"8j8sa","1","1","1.00","0.00","OK"
"8j8se","85","44","0.52","0.48","OK"
"8j8sf","122","77","0.63","0.37","OK"
"8j8sv","132","83","0.63","0.37","OK"
"8j8t2","702","174","0.25","0.75","OK"
"8j8tf","34","19","0.56","0.44","OK"
"8j8u2","218","62","0.28","0.72","OK"
"8j8wj","2","1","0.50","0.50","OK"
"8j8yz","1380","448","0.32","0.68","OK"
"8j8zb","110","9","0.08","0.92","OK"
"8j90l","1","1","1.00","0.00","OK"
"8j90q","8","3","0.38","0.63","OK"
"8j92i","587","8","0.01","0.99","OK"
"8j94o","1","1","1.00","0.00","OK"
"8j94s","1","1","1.00","0.00","OK"
"8j94z","52","13","0.25","0.75","OK"
"8j95g","3","1","0.33","0.67","OK"
"8j967","795","181","0.23","0.77","OK"
"8j9a2","19","15","0.79","0.21","OK"
"8j9a5","9","2","0.22","0.78","OK"
"8j9aa","8","8","1.00","0.00","OK"
"8j9d9","279","238","0.85","0.15","OK"
"8j9eq","30","14","0.47","0.53","OK"
"8j9ey","2","2","1.00","0.00","OK"
"8j9ge","1","1","1.00","0.00","OK"
"8j9h2","2","2","1.00","0.00","OK"
"8j9h9","1","1","1.00","0.00","OK"
"8j9i6","8917","1228","0.14","0.86","OK"
"8j9i7","355","205","0.58","0.42","OK"
"8j9i9","1797","837","0.47","0.53","OK"
"8j9jc","1","1","1.00","0.00","OK"
"8j9m9","165","2","0.01","0.99","OK"
"8j9ml","23","1","0.04","0.96","OK"
"8j9o0","886","335","0.38","0.62","OK"
"8j9p4","517","356","0.69","0.31","Observation"
"8j9pe","75","25","0.33","0.67","OK"
"8j9q3","12","5","0.42","0.58","OK"
"8jb5v","1","1","1.00","0.00","OK"
"8jc3s","1501","468","0.31","0.69","OK"
"8jc5o","98","55","0.56","0.44","OK"
"8jc8u","1","1","1.00","0.00","OK"
"8jc8v","31229","1743","0.06","0.94","OK"
"8jccm","99","40","0.40","0.60","OK"
"8jcez","6","2","0.33","0.67","OK"
"8jcfz","1","1","1.00","0.00","OK"
"8jcgp","23","8","0.35","0.65","OK"
"8jch5","78","21","0.27","0.73","OK"
"8jchh","134","60","0.45","0.55","OK"
"8jciv","99","47","0.47","0.53","OK"
"8jclv","2382","206","0.09","0.91","OK"
"8jcoh","1","1","1.00","0.00","OK"
"8jcru","9","4","0.44","0.56","OK"
"8jcuw","1","1","1.00","0.00","OK"
"8jg20","1995","658","0.33","0.67","OK"
"8jg2a","6","3","0.50","0.50","OK"
"8jg49","1","1","1.00","0.00","OK"
"8jg5r","10","5","0.50","0.50","OK"
"8jg82","1","1","1.00","0.00","OK"
"8jg8w","3","2","0.67","0.33","OK"
"8jg9s","35","23","0.66","0.34","OK"
"8jgac","172","12","0.07","0.93","OK"
"8jgbu","7966","428","0.05","0.95","OK"
"8jgcj","66","30","0.45","0.55","OK"
"8jgcw","95","25","0.26","0.74","OK"
"8jgel","4","3","0.75","0.25","OK"
"8jgf3","1","1","1.00","0.00","OK"
"8jgg3","198","72","0.36","0.64","OK"
"8jggg","1","1","1.00","0.00","OK"
"8jgk9","1","1","1.00","0.00","OK"
"8jgkk","852","332","0.39","0.61","Observation"
"8jgl8","1","1","1.00","0.00","OK"
"8jgls","287","102","0.36","0.64","OK"
"8jgok","3","2","0.67","0.33","OK"
"8jgq9","2","1","0.50","0.50","OK"
"8jgqa","53","48","0.91","0.09","OK"
"8jgqb","47","28","0.60","0.40","OK"
"8jgqr","1","1","1.00","0.00","OK"
"8jgt1","59","22","0.37","0.63","OK"
"8jgts","38","16","0.42","0.58","OK"
"8jgu2","1","1","1.00","0.00","OK"
"8jgul","49","13","0.27","0.73","OK"
"8jgvx","1","1","1.00","0.00","OK"
"8jh5s","1","1","1.00","0.00","OK"
"8jh5u","1","1","1.00","0.00","OK"
"8jh5v","1","1","1.00","0.00","OK"
"8jh60","3","1","0.33","0.67","OK"
"8jh7b","261","18","0.07","0.93","OK"
"8jh9c","47","27","0.57","0.43","OK"
"8jhbl","513","135","0.26","0.74","OK"
"8jhcs","2","1","0.50","0.50","OK"
"8jhct","3","3","1.00","0.00","OK"
"8jhdz","17","2","0.12","0.88","OK"
"8jhep","10","4","0.40","0.60","OK"
"8jhfv","11877","7162","0.60","0.40","OK"
"8jhge","70","37","0.53","0.47","OK"
"8jhgj","1","1","1.00","0.00","OK"
"8jhgx","8784","4927","0.56","0.44","OK"
"8jhh0","148","8","0.05","0.95","OK"
"8jhi5","3","1","0.33","0.67","OK"
"8jhis","4","2","0.50","0.50","OK"
"8jhit","21","3","0.14","0.86","OK"
"8jhle","1","1","1.00","0.00","OK"
"8jhlw","3","1","0.33","0.67","OK"
"8jhmk","1","1","1.00","0.00","OK"
"8jhnz","1537","811","0.53","0.47","OK"
"8jhou","59","25","0.42","0.58","OK"
"8jhp2","11","3","0.27","0.73","OK"
"8jhsv","2","2","1.00","0.00","OK"
"8jhtq","1","1","1.00","0.00","OK"
"8jhw3","98","16","0.16","0.84","OK"
"8jhw9","4","1","0.25","0.75","OK"
"8jhyg","7","5","0.71","0.29","OK"
"8ji11","6","5","0.83","0.17","OK"
"8ji1d","4","3","0.75","0.25","OK"
"8ji1k","1439","145","0.10","0.90","OK"
"8ji1l","7589","997","0.13","0.87","OK"
"8ji1s","562","304","0.54","0.46","OK"
"8ji1u","289","205","0.71","0.29","Observation"
"8ji2e","1","1","1.00","0.00","OK"
"8ji49","29","10","0.34","0.66","OK"
"8ji4k","2085","821","0.39","0.61","OK"
"8ji4m","88","24","0.27","0.73","OK"
"8ji4n","24","8","0.33","0.67","OK"
"8ji60","1","1","1.00","0.00","OK"
"8ji8h","213","79","0.37","0.63","OK"
"8ji8l","2","2","1.00","0.00","OK"
"8ji9t","2","1","0.50","0.50","OK"
"8jiak","1","1","1.00","0.00","OK"
"8jiam","2","1","0.50","0.50","OK"
"8jian","4","2","0.50","0.50","OK"
"8jibl","57","25","0.44","0.56","OK"
"8jibp","1","1","1.00","0.00","OK"
"8jict","106","29","0.27","0.73","OK"
"8jid2","1","1","1.00","0.00","OK"
"8jiex","440","93","0.21","0.79","OK"
"8jif4","3","3","1.00","0.00","OK"
"8jifa","12","8","0.67","0.33","OK"
"8jiff","97","55","0.57","0.43","OK"
"8jigh","81","19","0.23","0.77","OK"
"8jik8","1","1","1.00","0.00","OK"
"8jil2","9","3","0.33","0.67","OK"
"8jim2","2","2","1.00","0.00","OK"
"8jin3","19","9","0.47","0.53","OK"
"8jior","472","330","0.70","0.30","OK"
"8jisx","194","127","0.65","0.35","OK"
"8jith","3","1","0.33","0.67","OK"
"8jiu2","1","1","1.00","0.00","OK"
"8jiuc","145","74","0.51","0.49","OK"
"8jiwm","2","2","1.00","0.00","OK"
"8jiy2","147","96","0.65","0.35","OK"
"8jiy8","5","4","0.80","0.20","OK"
"8jiz8","3","2","0.67","0.33","OK"
"8jj05","2","2","1.00","0.00","OK"
"8jj1n","497","116","0.23","0.77","OK"
"8jj1s","1","1","1.00","0.00","OK"
"8jj35","1","1","1.00","0.00","OK"
"8jj3f","6","3","0.50","0.50","OK"
"8jj6m","108","18","0.17","0.83","OK"
"8jj7t","39497","7475","0.19","0.81","OK"
"8jj80","1","1","1.00","0.00","OK"
"8jj96","2","1","0.50","0.50","OK"
"8jj9d","17","12","0.71","0.29","OK"
"8jjao","283","91","0.32","0.68","Observation"
"8jjap","2551","615","0.24","0.76","OK"
"8jjc5","9699","1434","0.15","0.85","OK"
"8jjds","104","65","0.63","0.38","OK"
"8jjhc","1","1","1.00","0.00","OK"
"8jjji","30723","4035","0.13","0.87","OK"
"8jjo9","401","163","0.41","0.59","OK"
"8jjph","1","1","1.00","0.00","OK"
"8jjs6","2090","1272","0.61","0.39","Fraud"
"8jjsg","61","41","0.67","0.33","OK"
"8jjve","26","6","0.23","0.77","OK"
"8jjvh","11","4","0.36","0.64","OK"
"8jjxl","4","3","0.75","0.25","OK"
"8jk01","2813","1324","0.47","0.53","OK"
"8jk02","111","36","0.32","0.68","OK"
"8jk0d","230","2","0.01","0.99","Fraud"
"8jk15","3648","748","0.21","0.79","OK"
"8jk1x","1664","664","0.40","0.60","OK"
"8jk3i","489","269","0.55","0.45","OK"
"8jk4m","29303","3044","0.10","0.90","OK"
"8jk57","187","113","0.60","0.40","OK"
"8jk7c","4","3","0.75","0.25","OK"
"8jk8e","7","2","0.29","0.71","OK"
"8jk8g","105696","24661","0.23","0.77","OK"
"8jk8n","1","1","1.00","0.00","OK"
"8jka2","5","1","0.20","0.80","OK"
"8jkce","15","3","0.20","0.80","OK"
"8jkdf","416","60","0.14","0.86","OK"
"8jkdr","247","5","0.02","0.98","OK"
"8jkea","75507","18180","0.24","0.76","OK"
"8jkec","717","473","0.66","0.34","OK"
"8jked","2571","1663","0.65","0.35","OK"
"8jkfd","1537","401","0.26","0.74","OK"
"8jkff","78","41","0.53","0.47","OK"
"8jkh1","1862","720","0.39","0.61","Observation"
"8jkhu","2","1","0.50","0.50","OK"
"8jkhv","2","1","0.50","0.50","OK"
"8jkij","14540","1699","0.12","0.88","OK"
"8jkk9","1","1","1.00","0.00","OK"
"8jkmi","108","31","0.29","0.71","OK"
"8jkof","373","19","0.05","0.95","OK"
"8jkor","1219","600","0.49","0.51","OK"
"8jkp0","7779","5091","0.65","0.35","OK"
"8jkp1","16553","9336","0.56","0.44","OK"
"8jkqn","148","48","0.32","0.68","OK"
"8jkrj","87","27","0.31","0.69","OK"
"8jks4","28","10","0.36","0.64","OK"
"8jksm","111","76","0.68","0.32","OK"
"8jkt3","2","1","0.50","0.50","OK"
"8jktn","4378","305","0.07","0.93","OK"
"8jku2","1","1","1.00","0.00","OK"
"8jkul","10563","5937","0.56","0.44","OK"
"8jkv1","226","68","0.30","0.70","OK"
"8jkv9","33","17","0.52","0.48","OK"
"8jkve","1497","854","0.57","0.43","OK"
"8jkwc","9414","2116","0.22","0.78","OK"
"8jkwu","19","2","0.11","0.89","OK"
"8jky9","895","465","0.52","0.48","OK"
"8jl02","19","14","0.74","0.26","OK"
"8jl05","178","92","0.52","0.48","OK"
"8jl0l","13796","5866","0.43","0.57","OK"
"8jl0o","1","1","1.00","0.00","OK"
"8jl1o","126","42","0.33","0.67","OK"
"8jl1u","144","83","0.58","0.42","OK"
"8jl23","10","3","0.30","0.70","OK"
"8jl39","1","1","1.00","0.00","OK"
"8jl3n","154","115","0.75","0.25","OK"
"8jl3y","347","127","0.37","0.63","Fraud"
"8jl43","33","21","0.64","0.36","OK"
"8jl4l","7","5","0.71","0.29","OK"
"8jl61","89","29","0.33","0.67","OK"
"8jl6e","3846","1411","0.37","0.63","OK"
"8jl7q","1713","899","0.52","0.48","OK"
"8jla6","480","123","0.26","0.74","OK"
"8jlad","1","1","1.00","0.00","OK"
"8jlah","3","2","0.67","0.33","OK"
"8jlc5","171","46","0.27","0.73","OK"
"8jli0","6074","21","0.00","1.00","OK"
"8jlic","72","11","0.15","0.85","OK"
"8jlii","372","200","0.54","0.46","OK"
"8jlis","17788","725","0.04","0.96","OK"
"8jljk","2","1","0.50","0.50","OK"
"8jljl","1","1","1.00","0.00","OK"
"8jljm","80","6","0.08","0.93","OK"
"8jljq","8","1","0.13","0.88","OK"
"8jljr","407839","62246","0.15","0.85","OK"
"8jlju","67","42","0.63","0.37","OK"
"8jlk3","3178","727","0.23","0.77","OK"
"8jlkt","65","40","0.62","0.38","OK"
"8jlms","68","59","0.87","0.13","OK"
"8jlmv","19","18","0.95","0.05","OK"
"8jlmz","1","1","1.00","0.00","OK"
"8jln6","205","64","0.31","0.69","OK"
"8jlnl","144","63","0.44","0.56","OK"
"8jlos","3084","1293","0.42","0.58","OK"
"8jlpw","15025","6137","0.41","0.59","OK"
"8jlpz","212","128","0.60","0.40","OK"
"8jlr2","2","1","0.50","0.50","OK"
"8jlru","4","3","0.75","0.25","OK"
"8jlt1","5464","2094","0.38","0.62","OK"
"8jlu6","1850","1413","0.76","0.24","Fraud"
"8jlus","1280","402","0.31","0.69","OK"
"8jlyt","2","2","1.00","0.00","OK"
"8jlzr","926","184","0.20","0.80","OK"
"8jm0h","2","2","1.00","0.00","OK"
"8jm0y","1","1","1.00","0.00","OK"
"8jm18","22","6","0.27","0.73","OK"
"8jm4d","147","18","0.12","0.88","OK"
"8jm4h","30300","13488","0.45","0.55","OK"
"8jm4p","1","1","1.00","0.00","OK"
"8jm4v","562","299","0.53","0.47","OK"
"8jm5b","16","3","0.19","0.81","OK"
"8jm5w","4819","684","0.14","0.86","OK"
"8jm90","1622","355","0.22","0.78","OK"
"8jm9p","2204","162","0.07","0.93","OK"
"8jmbn","3","3","1.00","0.00","OK"
"8jmch","1760","409","0.23","0.77","OK"
"8kuma","2","2","1.00","0.00","OK"
